Start (bp),Stop (bp),Length (bp),GC content (％)
1,91461,91461,40.5
91462,140664,49203,32.31
140665,274370,133706,39.61
274371,345522,71152,35.28
345523,354392,8870,54.37
354393,376719,22327,39.11
376720,4643983,4267264,34.91
4643984,4659568,15585,44.22
4659569,4731476,71908,35.07
4731477,4749521,18045,52.73
4749522,9190731,4441210,35.79
9190732,9825403,634672,34.07
9825404,9891269,65866,39.19
9891270,9912057,20788,33.13
9912058,9928930,16873,51.01
9928931,15133119,5204189,35.97
15133120,15149879,16760,45.61
15149880,15311032,161153,34.13
15311033,15350597,39565,38.56
15350598,15366984,16387,45.69
15366985,15422731,55747,36.17
