Start (bp),Stop (bp),Length (bp),GC content (％)
1,160991,160991,38.92
160992,176485,15494,51.58
176486,201157,24672,37.93
201158,529869,328712,36.57
529870,550013,20144,42.11
550014,8389096,7839083,35.35
8389097,8405860,16764,38.45
8405861,8414240,8380,51.77
8414241,10283388,1869148,36
10283389,10292962,9574,49.64
10292963,10320959,27997,36.73
10320960,11280529,959570,33.62
11280530,11296788,16259,49.55
11296789,11743247,446459,36.2
11743248,11761084,17837,52.48
11761085,11782794,21710,37.44
11782795,11907807,125013,33.3
11907808,14455432,2547625,35.81
14455433,14479968,24536,39.07
14479969,14493904,13936,48.2
14493905,14506108,12204,30.61
14506109,14529372,23264,38.76
