Start (bp),Stop (bp),Length (bp),GC content (％)
1,262669,262669,37.72
262670,643839,381170,35.19
643840,648217,4378,39.38
648218,656900,8683,54.87
656901,700588,43688,35.85
700589,714874,14286,47.56
714875,1545369,830495,34.22
1545370,1761847,216478,32.38
1761848,1861164,99317,34.68
1861165,2090400,229236,37.67
2090401,2111345,20945,28.93
2111346,2120910,9565,39.15
2120911,2163310,42400,48.16
2163311,4526830,2363520,35
4526831,4528781,1951,12.66
4528782,4832702,303921,33.62
4832703,4861043,28341,40.85
4861044,4950527,89484,34.05
4950528,4957950,7423,53.16
4957951,5060015,102065,41.44
5060016,5289867,229852,38.06
5289868,5519118,229251,42
5519119,6784668,1265550,35.07
6784669,6791458,6790,46.23
6791459,6831543,40085,34.44
6831544,6843536,11993,51.06
6843537,6956115,112579,41.17
6956116,7377150,421035,34.81
7377151,7390832,13682,48.36
7390833,7445136,54304,39.26
7445137,7447923,2787,19.95
7447924,7481079,33156,35.29
7481080,7500314,19235,47.22
7500315,7513429,13115,29.52
7513430,7542110,28681,37.07
7542111,7549998,7888,50.27
7549999,7558315,8317,39.03
7558316,7756254,197939,35.1
7756255,7783435,27181,39.96
7783436,10087652,2304217,34.52
10087653,10090194,2542,53.15
10090195,11182669,1092475,36.75
11182670,11195292,12623,50.34
11195293,12635335,1440043,35.41
12635336,12784303,148968,33.18
12784304,12819826,35523,42.16
12819827,13105085,285259,33.7
13105086,13164136,59051,40.26
13164137,13181229,17093,51.21
13181230,13477416,296187,35.26
