Start (bp),Stop (bp),Length (bp),GC content (％)
1,398156,398156,36.54
398157,1633220,1235064,34.7
1633221,1645658,12438,44.94
1645659,1788025,142367,35.27
1788026,1968540,180515,39.88
1968541,1975917,7377,30.2
1975918,1986970,11053,52.39
1986971,2003418,16448,40.19
2003419,2044271,40853,34.58
2044272,2081887,37616,40.02
2081888,2129056,47169,49.05
2129057,2393205,264149,34.37
2393206,2732003,338798,37.22
2732004,2741385,9382,48.42
2741386,2754028,12643,37.63
2754029,3263748,509720,34.69
3263749,3277230,13482,41.95
3277231,3385659,108429,35.45
3385660,3425765,40106,43.29
3425766,3510960,85195,34.77
3510961,3547009,36049,43.06
3547010,4412694,865685,34.59
4412695,4606468,193774,39.3
4606469,4974082,367614,34.38
4974083,4978950,4868,46.82
4978951,5823730,844780,36.41
5823731,5832827,9097,46.62
5832828,5987978,155151,34.37
5987979,6010367,22389,50.61
6010368,6094611,84244,35.79
6094612,6112729,18118,50.96
6112730,6208768,96039,35.14
6208769,6225849,17081,45.54
6225850,6346479,120630,32.33
6346480,6354504,8025,49.89
6354505,6532981,178477,34.02
6532982,6556642,23661,47.03
6556643,6574896,18254,32.54
6574897,6580017,5121,49.91
6580018,6587654,7637,36.48
6587655,6629169,41515,31.07
6629170,7090450,461281,37.53
7090451,7329587,239137,33.74
7329588,7342887,13300,44.35
7342888,7523411,180524,35.88
7523412,7539777,16366,51.8
7539778,9822846,2283069,34.82
9822847,9914140,91294,31.43
9914141,9919686,5546,54
9919687,9934353,14667,35.91
9934354,9947576,13223,50.64
9947577,10113824,166248,33.03
10113825,10169984,56160,40.59
10169985,10603740,433756,34.97
10603741,10650433,46693,41.83
10650434,10799478,149045,37.17
10799479,11133499,334021,34.02
11133500,11273062,139563,37.81
11273063,11285900,12838,48.36
11285901,11415723,129823,34.69
11415724,11578865,163142,37.73
11578866,11947207,368342,33.07
11947208,11949611,2404,17.72
11949612,11962172,12561,46.07
11962173,12226169,263997,35.45
12226170,12510950,284781,32.09
12510951,13607809,1096859,36.26
13607810,13625840,18031,41.9
13625841,13849604,223764,33.21
13849605,14178238,328634,35.83
14178239,14362517,184279,32.43
14362518,15268667,906150,34.42
15268668,16293331,1024664,33.09
16293332,17590882,1297551,35.29
17590883,17770062,179180,33.17
17770063,19268234,1498172,35.91
19268235,19300910,32676,52.7
19300911,19314891,13981,42.44
19314892,19336537,21646,56.26
19336538,19673786,337249,38.44
