Start (bp),Stop (bp),Length (bp),GC content (％)
1,18644,18644,46.97
18645,74720,56076,39.19
74721,292917,218197,34.09
292918,308700,15783,48.67
308701,339178,30478,37.44
339179,361638,22460,29.62
361639,381950,20312,40.11
381951,522922,140972,31.07
522923,1014815,491893,34.64
1014816,1041995,27180,39.28
1041996,1336487,294492,32.93
1336488,1486676,150189,38.24
1486677,1600030,113354,32.22
1600031,1831910,231880,35.41
1831911,2097644,265734,37.97
2097645,2121670,24026,32.84
2121671,2137089,15419,45.81
2137090,2409290,272201,32.82
2409291,10553621,8144331,35.15
10553622,10567539,13918,48.3
10567540,10803530,235991,35.49
10803531,10846354,42824,47.04
10846355,10880755,34401,34.25
10880756,10928485,47730,39.63
10928486,10937708,9223,50.41
10937709,14959340,4021632,35.41
14959341,15036506,77166,39.45
15036507,16378336,1341830,34.51
16378337,16548474,170138,40.57
16548475,16955925,407451,35.28
16955926,17017937,62012,39.6
