Start (bp),Stop (bp),Length (bp),GC content (％)
1,27624,27624,33.84
27625,43252,15628,50.15
43253,473650,430398,35.67
473651,506604,32954,50.78
506605,549501,42897,39.59
549502,1582575,1033074,34.53
1582576,1602473,19898,42.38
1602474,2116835,514362,35.7
2116836,2423499,306664,33.2
2423500,2518529,95030,38.18
2518530,2633092,114563,33.43
2633093,2674520,41428,45.83
2674521,2678318,3798,29.73
2678319,2679444,1126,4.26
2679445,4258627,1579183,35.36
4258628,4274962,16335,52.58
4274963,4286767,11805,37.59
4286768,4499730,212963,33.1
4499731,7102138,2602408,34.95
7102139,7119588,17450,52.43
7119589,7210424,90836,33.64
7210425,7674233,463809,37.6
7674234,8171275,497042,35.63
8171276,8180800,9525,49.59
8180801,8224905,44105,37.89
8224906,9060723,835818,34.53
9060724,9212749,152026,37.94
9212750,9260422,47673,48.39
9260423,9798917,538495,34.45
9798918,9891016,92099,39.45
9891017,10131438,240422,34.94
10131439,10137966,6528,49.62
10137967,10453011,315045,36.66
10453012,12664260,2211249,34.55
12664261,12705329,41069,35.8
12705330,12715850,10521,52.35
12715851,15225045,2509195,35.42
15225046,15246803,21758,56.66
