Start (bp),Stop (bp),Length (bp),GC content (％)
1,3526134,3526134,35.41
3526135,3582536,56402,42.81
3582537,3602272,19736,36.23
3602273,3837924,235652,32.4
3837925,3851959,14035,40.96
3851960,3922148,70189,33.44
3922149,3937730,15582,48.43
3937731,3951201,13471,39.69
3951202,4008358,57157,31.67
4008359,4020986,12628,35.08
4020987,4029438,8452,48.28
4029439,5285253,1255815,34.92
5285254,5303933,18680,52.6
5303934,5335223,31290,34.88
5335224,5353785,18562,45.22
5353786,5367515,13730,33.88
5367516,5373773,6258,46.88
5373774,5398645,24872,31.77
5398646,5425866,27221,48.77
5425867,5552744,126878,35.09
5552745,5644257,91513,38.72
5644258,5660010,15753,48.31
5660011,5663841,3831,27.64
