Start (bp),Stop (bp),Length (bp),GC content (％)
1,117335,117335,35.05
117336,259529,142194,39.55
259530,2890370,2630841,35.61
2890371,2908473,18103,53.12
2908474,2931387,22914,36.31
2931388,3018673,87286,33.01
3018674,3036117,17444,52.78
3036118,3094173,58056,37.77
3094174,3101015,6842,50.64
3101016,6356389,3255374,34.86
6356390,6370488,14099,44.57
6370489,6387889,17401,34.26
6387890,6409244,21355,50.04
6409245,10150781,3741537,35.74
10150782,10172442,21661,38.08
10172443,10187674,15232,49.59
10187675,10213769,26095,41.73
10213770,10236812,23043,33.22
10236813,10245628,8816,54.37
10245629,10251199,5571,40.24
10251200,10258796,7597,29.32
10258797,10272121,13325,48.52
10272122,10328630,56509,32.61
10328631,10340728,12098,43.92
