Start (bp),Stop (bp),Length (bp),GC content (％)
1,214921,214921,38.46
214922,846413,631492,34.62
846414,878320,31907,41.62
878321,887211,8891,54.19
887212,928477,41266,37.94
928478,940935,12458,52.42
940936,1051197,110262,33.58
1051198,1253090,201893,37.37
1253091,1603764,350674,33.97
1603765,1623349,19585,48.09
1623350,1739658,116309,35.63
1739659,1761981,22323,47.25
1761982,1778555,16574,38.68
1778556,2454911,676356,35.58
2454912,2550659,95748,32.79
2550660,2570626,19967,46.03
2570627,2596766,26140,31.69
2596767,2638925,42159,37.84
2638926,2656509,17584,51.81
2656510,2765776,109267,36.7
2765777,4441026,1675250,35.09
4441027,4459836,18810,47.96
4459837,4503133,43297,37.98
4503134,5251801,748668,33.51
5251802,5285341,33540,35.22
5285342,5309790,24449,51.04
5309791,5478157,168367,36.16
5478158,6532138,1053981,34.24
6532139,6562404,30266,41.69
6562405,6604801,42397,36.17
6604802,6642203,37402,30.13
6642204,6703366,61163,37.29
6703367,6716109,12743,48.2
6716110,6729041,12932,32.27
6729042,6732481,3440,17.38
6732482,6832292,99811,36.76
6832293,6841227,8935,54.48
6841228,6845020,3793,39.18
6845021,6889007,43987,31.99
6889008,7367963,478956,35.61
7367964,7385362,17399,52.8
7385363,7395268,9906,32.42
7395269,7408949,13681,48.64
7408950,7528830,119881,36.55
7528831,7781713,252883,33.81
7781714,12041532,4259819,35.37
12041533,12051199,9667,49.52
12051200,12240101,188902,37.3
