Start (bp),Stop (bp),Length (bp),GC content (％)
1,47343,47343,36.59
47344,70102,22759,41.66
70103,84777,14675,56.73
84778,104893,20116,48.23
104894,147825,42932,40.51
147826,8324997,8177172,35.34
8324998,8327190,2193,17.46
8327191,8359812,32622,43.53
8359813,8378367,18555,33.11
8378368,8396611,18244,29.66
8396612,8416625,20014,42.55
8416626,8570832,154207,32.43
8570833,8618112,47280,37.58
8618113,8624706,6594,51.41
8624707,8778593,153887,32.99
8778594,10350763,1572170,35.06
10350764,10459001,108238,32.54
10459002,10462508,3507,37.1
10462509,10480107,17599,52.17
10480108,10607541,127434,35.21
10607542,10615808,8267,49.2
10615809,10726548,110740,39.23
10726549,11086969,360421,33.83
11086970,11092918,5949,50.24
11092919,16346769,5253851,35.74
16346770,16362207,15438,52.88
16362208,16365346,3139,27.91
16365347,16368066,2720,51.76
16368067,16436186,68120,31.6
16436187,17028626,592440,35.13
17028627,17045381,16755,42.15
