Start (bp),Stop (bp),Length (bp),GC content (％)
1,134655,134655,36.51
134656,152454,17799,52.5
152455,997000,844546,35.77
997001,1001570,4570,49.39
1001571,1009553,7983,36.04
1009554,1019999,10446,52.51
1020000,1082825,62826,37.56
1082826,1906841,824016,34.75
1906842,1918142,11301,48.05
1918143,1969550,51408,35.04
1969551,1978306,8756,38.42
1978307,2002012,23706,50.68
2002013,2037753,35741,34.26
2037754,2064458,26705,40.42
2064459,4931076,2866618,34.53
4931077,4940785,9709,50.76
4940786,5005925,65140,36.55
5005926,5037279,31354,44.37
5037280,5116107,78828,33.51
5116108,5133707,17600,52.69
5133708,5424949,291242,35.91
5424950,5430557,5608,51.69
5430558,5877450,446893,33.28
5877451,7971228,2093778,34.55
7971229,8259265,288037,36.27
8259266,8270857,11592,39.96
8270858,8281166,10309,52.87
8281167,8282641,1475,11.25
8282642,8290454,7813,36.82
8290455,8315015,24561,51.06
8315016,8465555,150540,37.54
8465556,8554437,88882,43.9
8554438,8561355,6918,29.08
8561356,8570512,9157,44.05
8570513,8584828,14316,26.77
8584829,8620642,35814,40.27
8620643,8636917,16275,25.06
8636918,8645801,8884,44.03
8645802,12652819,4007018,34.74
12652820,12681815,28996,39.06
12681816,12697730,15915,48.31
12697731,12721900,24170,35.36
12721901,12731181,9281,48.17
12731182,12756047,24866,33.45
12756048,12772187,16140,46.92
12772188,15783893,3011706,36.08
15783894,15789905,6012,46.91
