Start (bp),Stop (bp),Length (bp),GC content (％)
1,229307,229307,33.57
229308,293571,64264,38.6
293572,311845,18274,52.4
311846,685221,373376,35.7
685222,688224,3003,51.28
688225,1008166,319942,37.84
1008167,1025991,17825,53.08
1025992,1033683,7692,40.77
1033684,1229589,195906,36.3
1229590,1251261,21672,44.54
1251262,1252744,1483,15.51
1252745,4535311,3282567,35.57
4535312,4543724,8413,46.8
4543725,4552766,9042,30.13
4552767,4765077,212311,38.03
4765078,4781558,16481,48.59
4781559,6003105,1221547,36.29
6003106,9688243,3685138,35.01
