Start (bp),Stop (bp),Length (bp),GC content (％)
1,73906,73906,37.41
73907,82756,8850,54.45
82757,96954,14198,41.93
96955,814279,717325,37.03
814280,827079,12800,50.73
827080,851759,24680,38.71
851760,2183567,1331808,34.87
2183568,3242800,1059233,36.61
3242801,3252387,9587,48.64
3252388,3268557,16170,33.98
3268558,3337472,68915,40.65
3337473,3503469,165997,33.55
3503470,3676958,173489,36.86
3676959,3687931,10973,42.09
3687932,3702801,14870,53.12
3702802,3803222,100421,35.68
3803223,3815038,11816,43.51
3815039,3979054,164016,33.07
3979055,3981978,2924,18.74
3981979,4142719,160741,37.02
4142720,4154820,12101,50.81
4154821,4312922,158102,34.61
4312923,4325644,12722,48.33
4325645,4400753,75109,37.82
4400754,8325798,3925045,35.13
8325799,8429191,103393,32.22
8429192,8546325,117134,37.36
8546326,9498092,951767,34.13
9498093,9503559,5467,18.29
9503560,9524902,21343,42.44
9524903,10995547,1470645,35.64
10995548,11003573,8026,46.4
11003574,11019540,15967,30
11019541,11078331,58791,41.73
11078332,12142180,1063849,36.47
12142181,12175465,33285,47.9
12175466,13719369,1543904,35.78
13719370,13757972,38603,48.66
13757973,15462896,1704924,36.82
