Start (bp),Stop (bp),Length (bp),GC content (％)
1,17738,17738,48.06
17739,120184,102446,37.02
120185,138738,18554,52.8
138739,147114,8376,42.37
147115,4186592,4039478,36.1
4186593,5210954,1024362,34.08
5210955,5559062,348108,36.87
5559063,7579082,2020020,34.9
7579083,7585370,6288,45.17
7585371,7748453,163083,32.74
7748454,7985648,237195,37.59
7985649,8459278,473630,34.11
8459279,8493817,34539,37.45
8493818,8499439,5622,52.4
8499440,9882917,1383478,35.6
9882918,9966419,83502,31.89
9966420,11365494,1399075,34.5
11365495,11399219,33725,36.74
11399220,11408074,8855,54.66
11408075,11416578,8504,40.67
11416579,17436321,6019743,35.95
17436322,18275386,839065,37.93
