Start (bp),Stop (bp),Length (bp),GC content (％)
1,72483,72483,37.42
72484,84908,12425,49.7
84909,99551,14643,38.97
99552,118460,18909,33.41
118461,136789,18329,45.5
136790,1166149,1029360,34.23
1166150,1225683,59534,36.44
1225684,1260924,35241,56.37
1260925,1277005,16081,38.16
1277006,1285795,8790,54.56
1285796,1292182,6387,40.79
1292183,1326155,33973,32.43
1326156,1334792,8637,36.85
1334793,1350206,15414,52.65
1350207,1403576,53370,34.58
1403577,1411209,7633,56.39
1411210,1448308,37099,43.29
1448309,1474377,26069,57.72
1474378,1503939,29562,37
1503940,1517121,13182,51.84
1517122,1916674,399553,35.51
1916675,1985175,68501,40.35
1985176,2160960,175785,36.91
2160961,2537673,376713,33.71
2537674,2541856,4183,22.64
2541857,3802235,1260379,35.86
3802236,5146053,1343818,34.38
5146054,5181969,35916,30.25
5181970,5197329,15360,39.47
5197330,5210414,13085,50.91
5210415,7442930,2232516,35.98
7442931,7444142,1212,7.26
7444143,7461976,17834,53.29
7461977,7687154,225178,37.25
7687155,7745566,58412,40.63
7745567,7983494,237928,34.93
7983495,8069267,85773,32.06
8069268,8104152,34885,39.29
8104153,8119987,15835,50.13
8119988,8179239,59252,33.44
8179240,8191029,11790,50.64
8191030,8262312,71283,37.38
8262313,8821101,558789,34.15
8821102,9608165,787064,36.37
9608166,11934490,2326325,35.44
11934491,11949041,14551,44.44
11949042,12292438,343397,37.12
