Start (bp),Stop (bp),Length (bp),GC content (％)
1,49133,49133,37.33
49134,70236,21103,46.34
70237,112066,41830,39.33
112067,304343,192277,35.55
304344,400313,95970,39.78
400314,611843,211530,33.9
611844,620918,9075,45.94
620919,8799999,8179081,35.65
8800000,8844412,44413,41.03
8844413,9999995,1155583,34.47
9999996,10002714,2719,52
10002715,10098948,96234,31.93
10098949,10128102,29154,38.22
10128103,10149440,21338,48.7
10149441,10289271,139831,35.3
10289272,10531745,242474,33.09
10531746,10566395,34650,38.44
10566396,10569410,3015,52.31
10569411,11164401,594991,35.5
11164402,11173573,9172,38.69
11173574,11202331,28758,47.23
11202332,11367775,165444,38.89
11367776,12089330,721555,34.29
12089331,12144745,55415,35.86
12144746,12156526,11781,51.56
12156527,12216003,59477,32.68
12216004,13941697,1725694,35.69
