Chromosome,Start,End
chr1,2546490,2546637
chr1,2546490,2546556
chr1,2546559,2546718
chr1,2546640,2546800
chr1,2546721,2546881
chr1,2546805,2546962
chr1,2546884,2547043
chr1,2546965,2547124
chr1,2547046,2547155
chr1,2547126,2547155
chr1,2547146,2547295
chr1,2547220,2547376
chr1,2547299,2547457
chr1,2547377,2547538
chr1,2547460,2547618
chr1,2547541,2547699
chr1,2547621,2547780
chr1,2547705,2547852
chr1,2547791,2547932
chr1,2547859,2548013
chr1,2547937,2548094
chr1,2548018,2548159
chr1,2548097,2548257
chr1,2548180,2548338
chr1,2548264,2548385
chr1,2548341,2548491
chr1,2548419,2548577
chr1,2548500,2548658
chr1,2548580,2548736
chr1,2548661,2548832
chr1,2548754,2548912
chr1,2548835,2548993
chr1,2548915,2549074
chr1,2548999,2549146
chr1,2549085,2549226
chr1,2549154,2549307
chr1,2549229,2549388
chr1,2549308,2549470
chr1,2549391,2549551
chr1,2549475,2549630
chr1,2549554,2549696
chr1,2549635,2549788
chr1,2549716,2549826
chr1,2549817,2549969
chr1,2549837,2549888
chr1,2549891,2550050
chr1,2549970,2550125
chr1,2550053,2550211
chr1,2550134,2550292
chr1,2550214,2550347
chr1,2550298,2550347
chr1,2550376,2550516
chr1,2550444,2550598
chr1,2550521,2550679
chr1,2550603,2550751
chr1,2550682,2550839
chr1,2550762,2550921
chr1,2550843,2551002
chr1,2550924,2551074
chr1,2551003,2551160
chr1,2551083,2551241
chr1,2551163,2551322
chr1,2551247,2551403
chr1,2551325,2551484
chr1,2551404,2551559
chr1,2551487,2551645
chr1,2551568,2551726
chr1,2551648,2551807
chr1,2551732,2551879
chr1,2551818,2551958
chr1,2551886,2552040
chr1,2551962,2552126
chr1,2552061,2552199
chr1,2552129,2552283
chr1,2552210,2552369
chr1,2552291,2552450
chr1,2552372,2552525
chr1,2552453,2552611
chr1,2552534,2552692
chr1,2552614,2552773
chr1,2552698,2552845
chr1,2552784,2552925
chr1,2552853,2553006
chr1,2552930,2553087
chr1,2553011,2553160
chr1,2553090,2553248
chr1,2553171,2553330
chr1,2553252,2553411
chr1,2553333,2553486
chr1,2553414,2553565
chr1,2553495,2553651
chr1,2553574,2553732
chr1,2553657,2553811
chr1,2553736,2553892
chr1,2553814,2553972
chr1,2553895,2554048
chr1,2553976,2554134
chr1,2554057,2554216
chr1,2554138,2554297
chr1,2554219,2554378
chr1,2554300,2554457
chr1,2554381,2554537
chr1,2554460,2554618
chr1,2554543,2554697
chr1,2554622,2554778
chr1,2554698,2554858
chr1,2554781,2554932
chr1,2554864,2555020
chr1,2554943,2555102
chr1,2555024,2555177
chr1,2555105,2555240
chr1,2555186,2555337
chr1,2555260,2555418
chr1,2555341,2555499
chr1,2555421,2555577
chr1,2555504,2555658
chr1,2555578,2555737
chr1,2555662,2555811
chr1,2555743,2555899
chr1,2555821,2555980
chr1,2555902,2556059
chr1,2555983,2556093
chr1,2556086,2556236
chr1,2556104,2556155
chr1,2556161,2556274
chr1,2556241,2556274
chr1,2556292,2556377
chr1,2556331,2556374
chr1,2556377,2556469
chr1,2556392,2556549
chr1,2556473,2556631
chr1,2556553,2556686
chr1,2556640,2556686
chr1,2556715,2556855
chr1,2556783,2556937
chr1,2556859,2557018
chr1,2556942,2557093
chr1,2557019,2557178
chr1,2557102,2557260
chr1,2557182,2557341
chr1,2557263,2557416
chr1,2557345,2557502
chr1,2557425,2557583
chr1,2557505,2557664
chr1,2557589,2557736
chr1,2557675,2557816
chr1,2557744,2557897
chr1,2557819,2557978
chr1,2557903,2558042
chr1,2557984,2558139
chr1,2558062,2558215
chr1,2558143,2558302
chr1,2558222,2558377
chr1,2558305,2558457
chr1,2558386,2558544
chr1,2558466,2558625
chr1,2558550,2558706
chr1,2558629,2558787
chr1,2558709,2558867
chr1,2558790,2558945
chr1,2558871,2558945
chr1,2558937,2559087
chr1,2558937,2559006
chr1,2559015,2559167
chr1,2559090,2559242
chr1,2559174,2559324
chr1,2559246,2559373
chr1,2559330,2559451
chr1,2559404,2559514
chr1,2559485,2559514
chr1,2559505,2559657
chr1,2559519,2559576
chr1,2559582,2559738
chr1,2559661,2559819
chr1,2559739,2559899
chr1,2559822,2559980
chr1,2559902,2560060
chr1,2559993,2560132
chr1,2560071,2560212
chr1,2560140,2560293
chr1,2560215,2560373
chr1,2560298,2560448
chr1,2560378,2560536
chr1,2560459,2560618
chr1,2560540,2560693
chr1,2560621,2560780
chr1,2560702,2560860
chr1,2560783,2560941
chr1,2560864,2561022
chr1,2560944,2561100
chr1,2561027,2561181
chr1,2561101,2561263
chr1,2561184,2561337
chr1,2561268,2561386
chr1,2561347,2561386
chr1,2561379,2561481
chr1,2561404,2561563
chr1,2561487,2561613
chr1,2561566,2561615
chr1,2561619,2561763
chr1,2561619,2561683
chr1,2561692,2561850
chr1,2561772,2561931
chr1,2561856,2562012
chr1,2561935,2562093
chr1,2562015,2562173
chr1,2562096,2562251
chr1,2562177,2562251
chr1,2562245,2562393
chr1,2562245,2562312
chr1,2562321,2562473
chr1,2562396,2562548
chr1,2562480,2562630
chr1,2562552,2562681
chr1,2562635,2562761
chr1,2562714,2562824
chr1,2562795,2562821
chr1,2562815,2562967
chr1,2562829,2562886
chr1,2562892,2563048
chr1,2562971,2563129
chr1,2563049,2563210
chr1,2563132,2563290
chr1,2563213,2563371
chr1,2563293,2563426
chr1,2563377,2563516
chr1,2563455,2563596
chr1,2563524,2563677
chr1,2563599,2563757
chr1,2563682,2563832
chr1,2563762,2563920
chr1,2563843,2564002
chr1,2563924,2564077
chr1,2564005,2564147
