"","Chromosome","Start","End"
"1","chr1","16758","17061"
"2","chr1","24988","28227"
"3","chr1","160875","161216"
"4","chr1","168062","168772"
"5","chr1","168820","169170"
"6","chr1","169303","169869"
"7","chr1","201795","204429"
"8","chr1","219962","222552"
"9","chr1","231357","232388"
"10","chr1","234537","236232"
"11","chr1","284070","284438"
"12","chr1","315436","319873"
"13","chr1","321457","326432"
"14","chr1","336178","341050"
"15","chr1","342216","343519"
"16","chr1","361121","361952"
"17","chr1","370499","371317"
"18","chr1","404268","406369"
"19","chr1","413565","416067"
"20","chr1","421423","421698"
"21","chr1","426085","427791"
"22","chr1","432331","433781"
"23","chr1","436731","437051"
"24","chr1","453038","453229"
"25","chr1","458353","461877"
"26","chr1","462390","465558"
"27","chr1","478055","481723"
"28","chr1","483919","485694"
"29","chr1","558018","559193"
"30","chr1","564737","565777"
"31","chr1","578872","581283"
"32","chr1","606889","609413"
"33","chr1","614220","617708"
"34","chr1","620245","646537"
"35","chr1","668804","675036"
"36","chr1","676570","678905"
"37","chr1","679833","685394"
"38","chr1","692661","696776"
"39","chr1","698856","702708"
"40","chr1","727004","727966"
"41","chr1","762096","764307"
"42","chr1","768044","770298"
"43","chr1","791428","791901"
"44","chr1","804336","807699"
"45","chr1","809792","812924"
"46","chr1","819541","821788"
"47","chr1","842002","844497"
"48","chr1","879731","881776"
"49","chr1","899901","905791"
"50","chr1","911610","913043"
"51","chr1","935315","946338"
"52","chr1","947121","949039"
"53","chr1","964190","967593"
"54","chr1","968830","970546"
"55","chr1","978174","984619"
"56","chr1","1070332","1071898"
"57","chr1","1082850","1084527"
"58","chr1","1092045","1093685"
"59","chr1","1096098","1098959"
"60","chr1","1099145","1100235"
"61","chr1","1107357","1113113"
"62","chr1","1127995","1129194"
"63","chr1","1129964","1138635"
"64","chr1","1145505","1146808"
"65","chr1","1153291","1154686"
"66","chr1","1161903","1163809"
"67","chr1","1163943","1166646"
"68","chr1","1169755","1170531"
"69","chr1","1183472","1183858"
"70","chr1","1200543","1206395"
"71","chr1","1207718","1214327"
"72","chr1","1216957","1217734"
"73","chr1","1220965","1222401"
"74","chr1","1236358","1239426"
"75","chr1","1278364","1280279"
"76","chr1","1320740","1325900"
"77","chr1","1328759","1332821"
"78","chr1","1347107","1348971"
"79","chr1","1351347","1353879"
"80","chr1","1404425","1406847"
"81","chr1","1411730","1418683"
"82","chr1","1426048","1427578"
"83","chr1","1434216","1438483"
"84","chr1","1439219","1443367"
"85","chr1","1451075","1453279"
"86","chr1","1465249","1468391"
"87","chr1","1525264","1535784"
"88","chr1","1537243","1541084"
"89","chr1","1551748","1555703"
"90","chr1","1566983","1569747"
"91","chr1","1572156","1573328"
"92","chr1","1573994","1575863"
"93","chr1","1612331","1615414"
"94","chr1","1616176","1618661"
"95","chr1","1698893","1703817"
"96","chr1","1718128","1721471"
"97","chr1","1749203","1759028"
"98","chr1","1774152","1776418"
"99","chr1","1831440","1835394"
"100","chr1","1841215","1842105"
"101","chr1","1842235","1843681"
"102","chr1","1909618","1915781"
"103","chr1","1932946","1935484"
"104","chr1","1938758","1948079"
"105","chr1","2015748","2029012"
"106","chr1","2070616","2076389"
"107","chr1","2141422","2144632"
"108","chr1","2170274","2172529"
"109","chr1","2180068","2209561"
"110","chr1","2227006","2229137"
"111","chr1","2262066","2271653"
"112","chr1","2272522","2273660"
"113","chr1","2281745","2284758"
"114","chr1","2289420","2305585"
"115","chr1","2315787","2318851"
"116","chr1","2326686","2329246"
"117","chr1","2362061","2364050"
"118","chr1","2370075","2370854"
"119","chr1","2376287","2385258"
"120","chr1","2426386","2429865"
"121","chr1","2449794","2450459"
"122","chr1","2457993","2459466"
"123","chr1","2486522","2486905"
"124","chr1","2490436","2493393"
"125","chr1","2500163","2502790"
"126","chr1","2510542","2512713"
"127","chr1","2524204","2527684"
"128","chr1","2531995","2535869"
"129","chr1","2539245","2540690"
"130","chr1","2577632","2578903"
"131","chr1","2579666","2582879"
"132","chr1","2582931","2585682"
"133","chr1","2587339","2588010"
"134","chr1","2592898","2594366"
"135","chr1","2597442","2597816"
"136","chr1","2601367","2604330"
"137","chr1","2615205","2615744"
"138","chr1","2643218","2643760"
"139","chr1","2644910","2646366"
"140","chr1","2653256","2655150"
"141","chr1","2667994","2672550"
